attacker \ defender,Fortress,Marksman,Vulcan,Melting Point,Rhino,Wasp,Mustang,Steel Ball,Fang,Crawler,Overlord,Stormcaller,Sledgehammer,Hacker,Arclight,Phoenix,War Factory,Wraith,Scorpion,Fire Badger,Sabertooth,Typhoon,Sandworm,Tarantula,Phantom Ray,Farseer,Raiden,Hound,Abyss,Void Eye,Vortex,Mountain
Fortress,7,1,5,5,3,,1,1,1,1,,1,1,1,1,,18,,3,1,3,2,8,3,,2,,1,,1,2,21
Marksman,19,1,14,14,9,1,1,2,1,1,10,1,2,2,3,1,49,7,8,2,7,5,21,7,2,6,7,1,29,1,4,59
Vulcan,586,22,404,413,258,,5,61,2,4,,16,47,44,65,,1515,,249,57,199,128,649,197,,160,,12,,21,99,1823
Melting Point,262,10,181,184,115,2,3,28,1,2,128,7,21,20,29,9,677,85,111,26,89,57,290,88,21,72,96,6,399,10,45,814
Rhino,13,1,9,9,6,,1,2,1,1,,1,1,1,2,,32,,6,2,5,3,14,5,,4,,1,,1,3,39
Wasp,218,9,150,154,96,2,2,23,1,2,106,6,18,17,24,8,563,70,93,21,74,48,241,74,17,60,80,5,332,8,37,677
Mustang,1221,46,842,859,537,9,10,127,4,8,593,32,97,91,134,42,3156,393,518,118,414,265,1352,411,95,334,447,25,1860,43,207,3797
Steel Ball,799,30,551,562,351,,7,84,3,5,,21,64,60,88,,2066,,339,77,271,174,885,269,,219,,16,,28,135,2485
Fang,698,26,481,491,307,5,6,73,2,5,339,19,56,52,77,24,1804,225,296,68,237,152,773,235,55,191,255,14,1063,25,118,2170
Crawler,557,21,384,392,245,,5,58,2,4,,15,45,42,61,,1438,,236,54,189,121,616,187,,152,,12,,20,94,1730
Overlord,10,1,7,7,5,1,1,1,1,1,5,1,1,1,2,1,24,3,4,1,4,3,11,4,1,3,4,1,15,1,2,29
Stormcaller,57,3,40,41,25,,1,6,1,1,,2,5,5,7,,148,,25,6,20,13,64,20,,16,,2,,2,10,178
Sledgehammer,73,3,50,51,32,,1,8,1,1,,2,6,6,8,,187,,31,7,25,16,81,25,,20,,2,,3,13,225
Hacker,74,3,51,52,33,,1,8,1,1,,2,6,6,9,,190,,32,8,25,16,82,25,,20,,2,,3,13,228
Arclight,121,5,83,85,53,,1,13,1,1,,4,10,9,14,,312,,52,12,41,27,134,41,,33,,3,,5,21,375
Phoenix,16,1,11,11,7,1,1,2,1,1,8,1,2,2,2,1,41,6,7,2,6,4,18,6,2,5,6,1,24,1,3,49
War Factory,6,1,5,5,3,,1,1,1,1,,1,1,1,1,,16,,3,1,2,2,7,2,,2,,1,,1,1,19
Wraith,116,5,80,82,51,1,1,12,1,1,57,4,10,9,13,4,299,38,49,12,40,26,128,39,9,32,43,3,176,4,20,359
Scorpion,5,1,3,3,2,,1,1,1,1,,1,1,1,1,,11,,2,1,2,1,5,2,,2,,1,,1,1,13
Fire Badger,1628,61,1122,1145,715,,13,170,5,10,,43,129,121,179,,4208,,691,157,552,353,1802,548,,445,,33,,57,275,5062
Sabertooth,7,1,5,5,3,,1,1,1,1,,1,1,1,1,,17,,3,1,3,2,8,3,,2,,1,,1,2,20
Typhoon,500,19,345,352,220,4,4,52,2,3,243,14,40,37,55,17,1291,161,212,48,170,109,553,168,39,137,183,10,761,18,85,1553
Sandworm,5,1,4,4,2,,1,1,1,1,,1,1,1,1,,12,,2,1,2,1,6,2,,2,,1,,1,1,15
Tarantula,89,4,62,63,39,,1,10,1,1,,3,8,7,10,,230,,38,9,31,20,99,30,,25,,2,,4,15,276
Phantom Ray,41,2,28,29,18,1,1,5,1,1,20,2,4,3,5,2,105,13,18,4,14,9,45,14,4,12,15,1,62,2,7,126
Farseer,33,2,23,23,15,1,1,4,1,1,16,1,3,3,4,2,85,11,14,4,12,8,37,11,3,9,12,1,50,2,6,102
Raiden,9,1,7,7,4,1,1,1,1,1,5,1,1,1,1,1,23,3,4,1,3,2,10,3,1,3,4,1,14,1,2,28
Hound,179,7,124,126,79,,2,19,1,2,,5,15,14,20,,462,,76,18,61,39,198,61,,49,,4,,7,31,556
Abyss,12,1,8,9,6,1,1,2,1,1,6,1,1,1,2,1,30,4,5,2,4,3,13,4,1,4,5,1,18,1,2,36
Void Eye,45,2,31,32,20,,1,5,1,1,,2,4,4,5,,115,,19,5,15,10,49,15,,13,,1,,2,8,138
Vortex,34,2,24,24,15,,1,4,1,1,,1,3,3,4,,87,,15,4,12,8,38,12,,10,,1,,2,6,105
Mountain,8,1,6,6,4,,1,1,1,1,,1,1,1,1,,20,,4,1,3,2,9,3,,3,,1,,1,2,24
