attacker_id,attacker_name,defender_id,defender_name,atk_upgrade,hp_upgrade,attacker_atk,defender_hp,hits_to_kill,hits_base,hits_delta
1,Fortress,1,Fortress,0,0,6524.0,43938.0,7,7,0
1,Fortress,1,Fortress,0,1,6524.0,50528.7,8,7,1
1,Fortress,1,Fortress,0,2,6524.0,63710.1,10,7,3
1,Fortress,1,Fortress,1,0,7306.9,43938.0,7,7,0
1,Fortress,1,Fortress,1,1,7306.9,50528.7,7,7,0
1,Fortress,1,Fortress,1,2,7306.9,63710.1,9,7,2
1,Fortress,1,Fortress,2,0,8872.6,43938.0,5,7,-2
1,Fortress,1,Fortress,2,1,8872.6,50528.7,6,7,-1
1,Fortress,1,Fortress,2,2,8872.6,63710.1,8,7,1
1,Fortress,2,Marksman,0,0,6524.0,1622.0,1,1,0
1,Fortress,2,Marksman,0,1,6524.0,1865.3,1,1,0
1,Fortress,2,Marksman,0,2,6524.0,2351.9,1,1,0
1,Fortress,2,Marksman,1,0,7306.9,1622.0,1,1,0
1,Fortress,2,Marksman,1,1,7306.9,1865.3,1,1,0
1,Fortress,2,Marksman,1,2,7306.9,2351.9,1,1,0
1,Fortress,2,Marksman,2,0,8872.6,1622.0,1,1,0
1,Fortress,2,Marksman,2,1,8872.6,1865.3,1,1,0
1,Fortress,2,Marksman,2,2,8872.6,2351.9,1,1,0
1,Fortress,3,Vulcan,0,0,6524.0,30279.0,5,5,0
1,Fortress,3,Vulcan,0,1,6524.0,34820.8,6,5,1
1,Fortress,3,Vulcan,0,2,6524.0,43904.5,7,5,2
1,Fortress,3,Vulcan,1,0,7306.9,30279.0,5,5,0
1,Fortress,3,Vulcan,1,1,7306.9,34820.8,5,5,0
1,Fortress,3,Vulcan,1,2,7306.9,43904.5,7,5,2
1,Fortress,3,Vulcan,2,0,8872.6,30279.0,4,5,-1
1,Fortress,3,Vulcan,2,1,8872.6,34820.8,4,5,-1
1,Fortress,3,Vulcan,2,2,8872.6,43904.5,5,5,0
1,Fortress,4,Melting Point,0,0,6524.0,30907.0,5,5,0
1,Fortress,4,Melting Point,0,1,6524.0,35543.0,6,5,1
1,Fortress,4,Melting Point,0,2,6524.0,44815.2,7,5,2
1,Fortress,4,Melting Point,1,0,7306.9,30907.0,5,5,0
1,Fortress,4,Melting Point,1,1,7306.9,35543.0,5,5,0
1,Fortress,4,Melting Point,1,2,7306.9,44815.2,7,5,2
1,Fortress,4,Melting Point,2,0,8872.6,30907.0,4,5,-1
