id,name,special_unit,test_unit,category,cost,hp,atk,speed_mps,range_m,attack_interval_s,splash_range_m,target,flying,combat_size,move_type,units_per_card,group,unlock_price,slot_size,card_width,card_height
1,Fortress,0,False,Standard,400,43938,6524,6,100.0,1.8,5.0,Ground Only,False,Huge,Normal,1,3,200,40,40.0,40.0
2,Marksman,0,False,Standard,100,1622,2329,8,140.0,3.1,0.0,Air & Ground,False,Medium,Normal,1,1,0,20,20.0,20.0
3,Vulcan,0,False,Standard,400,30279,75,6,95.0,0.1,15.0,Ground Only,False,Huge,Normal,1,3,200,40,40.0,40.0
4,Melting Point,0,False,Standard,400,30907,168,6,115.0,0.2,3.0,Air & Ground,False,Huge,Normal,1,3,200,40,40.0,40.0
5,Rhino,0,False,Standard,200,19297,3560,16,6.0,0.9,6.0,Ground Only,False,Medium,Normal,1,2,50,30,30.0,30.0
6,Wasp,0,False,Standard,200,311,202,16,50.0,1.4,0.0,Air & Ground,True,Small,Normal,12,2,50,8,50.0,20.0
7,Mustang,0,False,Standard,200,343,36,16,95.0,0.4,0.0,Air & Ground,False,Small,Normal,12,1,0,8,50.0,20.0
8,Steel Ball,0,False,Standard,200,4571,55,16,45.0,0.2,0.0,Ground Only,False,Medium,Normal,4,1,0,12,50.0,20.0
9,Fang,0,False,Standard,100,117,63,6,75.0,1.5,0.0,Air & Ground,False,Small,Normal,18,1,0,8,50.0,20.0
10,Crawler,0,False,Standard,100,263,79,16,6.0,0.6,0.0,Ground Only,False,Small,Normal,24,1,0,6,50.0,20.0
11,Overlord,0,False,Standard,500,21339,4742,10,120.0,4.6,7.0,Air & Ground,True,Huge,Normal,1,3,200,50,50.0,50.0
12,Stormcaller,0,False,Standard,200,1149,772,6,180.0,6.6,5.5,Ground Only,False,Medium,Normal,4,2,50,12,50.0,20.0
13,Sledgehammer,0,False,Standard,200,3478,608,7,95.0,4.5,5.0,Ground Only,False,Medium,Normal,5,1,0,10,50.0,20.0
14,Hacker,0,False,Standard,200,3249,600,8,110.0,0.3,0.0,Ground Only,False,Medium,Normal,1,2,100,20,30.0,30.0
15,Arclight,0,False,Standard,100,4813,365,7,95.0,0.9,7.0,Ground Only,False,Medium,Normal,1,1,0,20,20.0,20.0
16,Phoenix,0,False,Standard,200,1491,2814,16,120.0,3.4,0.0,Air & Ground,True,Medium,Normal,2,2,50,20,40.0,20.0
17,War Factory,0,False,Standard,800,113593,7520,6,100.0,1.8,4.5,Ground Only,False,Huge,Normal,1,4,350,70,70.0,70.0
18,Wraith,0,False,Standard,300,14115,381,10,60.0,1.6,8.0,Air & Ground,True,Medium,Normal,1,2,50,30,30.0,30.0
19,Scorpion,0,False,Standard,300,18632,10650,7,100.0,4.5,15.0,Ground Only,False,Medium,Normal,1,2,50,30,30.0,30.0
20,Fire Badger,0,False,Standard,200,4222,27,9,75.0,0.1,7.0,Ground Only,False,Medium,Normal,3,1,0,15,50.0,20.0
21,Sabertooth,0,False,Standard,200,14886,6881,8,95.0,3.2,5.0,Ground Only,False,Medium,Normal,1,1,0,30,30.0,30.0
22,Typhoon,0,False,Standard,300,9529,88,9,100.0,0.2,5.0,Air & Ground,False,Medium,Normal,2,2,50,20,40.0,20.0
23,Sandworm,0,False,Standard,400,48645,9726,16,60.0,2.5,12.0,Ground Only,False,Huge,Underground,1,3,200,40,40.0,40.0
24,Tarantula,0,False,Standard,200,14773,496,8,80.0,0.6,5.0,Ground Only,False,Medium,Normal,1,1,0,30,30.0,30.0
25,Phantom Ray,0,False,Standard,200,3412,1087,16,65.0,3.0,3.0,Air & Ground,True,Medium,Normal,3,2,50,15,50.0,20.0
26,Farseer,0,False,Standard,300,11991,1348,16,125.0,2.0,8.0,Air & Ground,False,Medium,Normal,1,2,50,30,30.0,30.0
27,Raiden,0,False,Standard,400,16065,5027,10,110.0,4.6,0.0,Air & Ground,True,Huge,Normal,1,3,200,40,40.0,40.0
28,Hound,0,False,Standard,100,879,246,10,70.0,2.4,6.0,Ground Only,False,Small,Normal,5,1,0,13,40.0,20.0
29,Abyss,0,False,Standard,800,66955,3859,10,100.0,4.0,0.0,Air & Ground,True,Huge,Normal,1,4,350,70,70.0,70.0
30,Void Eye,0,False,Standard,100,1522,995,8,100.0,3.3,0.0,Ground Only,False,Small,Normal,3,1,0,13,40.0,20.0
31,Vortex,0,False,Standard,100,7425,1309,8,85.0,1.5,0.0,Ground Only,False,Medium,Normal,1,1,0,20,20.0,20.0
51,Experimental Fortress,2,True,Experimental,1000,153615,20529,6,140.0,2.0,4.5,Ground Only,False,Huge,Normal,1,0,200,80,80.0,80.0
52,Experimental Marksman,2,True,Experimental,250,4866,6987,8,140.0,3.1,0.0,Air & Ground,False,Medium,Normal,1,0,0,20,20.0,20.0
53,Experimental Vulcan,2,True,Experimental,400,15140,150,6,95.0,0.1,10.0,Ground Only,False,Huge,Normal,1,0,100,30,30.0,30.0
54,Death Knell,2,True,Experimental,1000,123306,426,6,115.0,0.2,3.0,Air & Ground,False,Huge,Normal,1,0,200,80,80.0,80.0
55,Experimental Rhino,2,True,Experimental,500,57891,9891,16,12.0,0.9,12.0,Ground Only,False,Medium,Normal,1,0,50,40,40.0,40.0
56,Experimental Wasp,2,True,Experimental,500,1649,828,16,50.0,1.0,0.0,Air & Ground,True,Small,Normal,6,0,0,13,40.0,40.0
57,Experimental Mustang,2,True,Experimental,500,3087,324,16,95.0,0.4,0.0,Air & Ground,False,Small,Normal,4,0,50,12,50.0,20.0
58,Experimental Steel Ball,2,True,Experimental,500,41139,495,16,45.0,0.2,0.0,Ground Only,False,Medium,Normal,1,0,50,40,40.0,40.0
59,Experimental Fang,2,True,Experimental,250,3285,637,6,90.0,1.0,0.0,Air & Ground,False,Small,Normal,3,0,0,25,80.0,20.0
60,Experimental Crawler,2,True,Experimental,250,5523,1659,16,6.0,1.0,0.0,Ground Only,False,Small,Normal,4,0,0,12,50.0,20.0
61,Experimental Overlord,2,True,Experimental,1000,46890,14226,10,110.0,4.0,7.5,Air & Ground,True,Huge,Normal,1,0,200,80,80.0,80.0
62,Experimental Stormcaller,2,True,Experimental,500,13788,3088,6,180.0,6.3,5.5,Ground Only,False,Medium,Normal,1,0,50,40,40.0,40.0
63,Experimental Sledgehammer,2,True,Experimental,500,26085,4560,7,95.0,4.5,5.0,Ground Only,False,Medium,Normal,2,0,50,20,40.0,20.0
64,Experimental Hacker,2,True,Experimental,500,9747,1755,8,110.0,0.3,0.0,Air & Ground,False,Medium,Normal,1,0,100,40,40.0,40.0
65,Experimental Arclight,2,True,Experimental,300,14439,1095,7,93.0,1.0,7.0,Ground Only,False,Medium,Normal,1,0,0,30,30.0,30.0
66,Experimental Phoenix,2,True,Experimental,500,1464,3073,16,120.0,3.2,0.0,Air & Ground,True,Medium,Normal,6,0,50,15,50.0,20.0
67,Experimental War Factory,2,True,Experimental,2000,340779,22560,6,110.0,1.8,4.5,Ground Only,False,Huge,Normal,1,0,200,110,110.0,110.0
68,Experimental Wraith,2,True,Experimental,750,47373,1344,10,55.0,1.6,8.0,Air & Ground,True,Medium,Normal,1,0,100,40,40.0,40.0
69,Experimental Scorpion,2,True,Experimental,750,55896,31950,6,110.0,4.5,20.0,Ground Only,False,Medium,Normal,1,0,100,40,40.0,40.0
70,Experimental Fire Badger,2,True,Experimental,500,37998,243,9,60.0,0.1,9.0,Ground Only,False,Medium,Normal,1,0,50,40,40.0,40.0
71,Experimental Sabertooth,2,True,Experimental,500,44658,20643,7,95.0,3.0,7.0,Ground Only,False,Medium,Normal,1,0,50,40,40.0,40.0
72,Experimental Typhoon,2,True,Experimental,750,57174,528,9,100.0,0.2,5.0,Air & Ground,False,Medium,Normal,1,0,100,40,40.0,40.0
73,Experimental Sandworm,2,True,Experimental,1000,145935,14589,16,100.0,1.3,18.0,Ground Only,False,Huge,Underground,1,0,200,80,80.0,80.0
101,Supply Ship,2,True,Experimental,0,14140,0,0,,,,,False,Huge,Normal,1,0,0,20,20.0,20.0
153,Experimental Vulcan Type B,2,True,Experimental,1000,90837,225,6,95.0,0.1,12.0,Ground Only,False,Huge,Normal,1,0,200,80,80.0,80.0
167,Experimental War Factory,2,True,Experimental,2000,9855,1911,6,110.0,1.8,4.5,Ground Only,False,Huge,Normal,1,0,200,110,110.0,110.0
168,Experimental Wraith,2,True,Experimental,750,47373,1344,10,55.0,1.6,8.0,Air & Ground,True,Medium,Normal,1,0,100,40,40.0,40.0
1001,Larva,3,True,Combat-spawned,200,5746,1027,16,30.0,2.0,6.0,Ground Only,False,Medium,Underground,2,0,0,20,40.0,20.0
1002,Spider Mine,3,True,Combat-spawned,34,750,2500,24,1.0,0.0,12.0,Ground Only,False,Small,Normal,6,0,0,20,20.0,20.0
2001,Death Knell,1,False,Rotating bonus-pick,800,125512,207,6,115.0,0.2,3.0,Air & Ground,False,Huge,Normal,1,0,350,70,70.0,70.0
2002,Mountain,0,False,Standard,800,136657,5899,6,100.0,2.0,5.0,Ground Only,False,Huge,Normal,1,4,350,70,70.0,70.0
4001,Experimental Death Knell,1,False,Rotating bonus-pick,300,23237,45,6,115.0,0.2,0.0,Air & Ground,False,Huge,Normal,1,1,350,70,70.0,70.0
